Date,Open,High,Low,Close,Volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2022-11-23 12:00:00,2.8,2.8,2.66,2.6630000000000003,1256.8,1669208399999,3387.7566,28,1076.7,2902.0518,0
2022-11-23 13:00:00,2.6630000000000003,2.679,2.651,2.651,368.4,1669211999999,981.4598,9,368.4,981.4598,0
2022-11-23 14:00:00,2.651,2.651,2.651,2.651,0.0,1669215599999,0.0,0,0.0,0.0,0
2022-11-23 15:00:00,2.636,2.636,2.603,2.603,248.5,1669219199999,650.0668,8,95.3,250.0648,0
2022-11-23 16:00:00,2.608,2.608,2.57,2.57,94.3,1669222799999,244.492,5,35.7,92.8408,0
2022-11-23 17:00:00,2.557,2.614,2.557,2.614,710.7,1669226399999,1845.6015,10,710.7,1845.6015,0
2022-11-23 18:00:00,2.62,2.627,2.62,2.625,164.7,1669229999999,432.2609,7,164.7,432.2609,0
2022-11-23 19:00:00,2.627,2.656,2.6060000000000003,2.623,2434.1,1669233599999,6428.2869,52,1958.6,5179.9857,0
2022-11-23 20:00:00,2.7,2.7,2.6260000000000003,2.6260000000000003,12.9,1669237199999,34.2299,3,8.5,22.6755,0
2022-11-23 21:00:00,2.64,2.64,2.6260000000000003,2.6260000000000003,148.3,1669240799999,390.98,4,81.8,215.952,0
2022-11-23 22:00:00,2.6260000000000003,2.6260000000000003,2.6260000000000003,2.6260000000000003,0.0,1669244399999,0.0,0,0.0,0.0,0
2022-11-23 23:00:00,2.665,2.677,2.665,2.665,570.4,1669247999999,1523.8248,6,570.4,1523.8248,0
2022-11-24 00:00:00,2.656,2.658,2.631,2.631,49.0,1669251599999,130.0565,3,49.0,130.0565,0
2022-11-24 01:00:00,2.59,2.59,2.59,2.59,4.0,1669255199999,10.36,1,0.0,0.0,0
2022-11-24 02:00:00,2.672,2.675,2.658,2.658,410.0,1669258799999,1095.83,9,410.0,1095.83,0
2022-11-24 03:00:00,2.6660000000000004,2.673,2.6660000000000004,2.673,90.8,1669262399999,242.6762,3,90.8,242.6762,0
2022-11-24 04:00:00,2.67,2.679,2.63,2.63,425.2,1669265999999,1134.943,8,313.0,835.1602,0
